,Ty,GR,SST,d18Osw
1,0.002739726,0.041090108,5.963333289,-0.037995742
2,0.005479452,0.041080267,5.919999758,-0.037274861
3,0.008219178,0.041066368,5.753333092,-0.03655839
4,0.010958904,0.041048417,5.746666431,-0.035844521
5,0.01369863,0.041026415,5.776666482,-0.035142807
6,0.016438356,0.04100037,5.623333295,-0.034228938
7,0.019178082,0.040970286,5.479999701,-0.033662498
8,0.021917808,0.040936174,5.613333225,-0.033322192
9,0.024657534,0.04089804,5.243333181,-0.026617462
10,0.02739726,0.040855896,4.999999841,-0.029235579
11,0.030136986,0.040809752,4.673333168,-0.028817964
12,0.032876712,0.040759622,4.893333276,-0.02998734
13,0.035616438,0.040705519,5.066666603,-0.029493322
14,0.038356164,0.040647458,5.159999847,-0.029116072
15,0.04109589,0.040585455,5.273333391,-0.028872276
16,0.043835616,0.040519528,5.383333206,-0.028472968
17,0.046575342,0.040449694,4.99666659,-0.028325566
18,0.049315068,0.040375974,4.839999835,-0.028222603
19,0.052054795,0.040298387,5.076666514,-0.028324822
20,0.054794521,0.040216957,5.129999797,-0.028599246
21,0.057534247,0.040131706,4.99666659,-0.028633706
22,0.060273973,0.040042658,5.003333251,-0.028708881
23,0.063013699,0.039949838,4.98999993,-0.028817014
24,0.065753425,0.039853273,5.109999816,-0.028935377
25,0.068493151,0.039752991,4.893333435,-0.029084957
26,0.071232877,0.039649019,4.786666393,-0.029281935
27,0.073972603,0.039541388,4.509999911,-0.029336528
28,0.076712329,0.039430129,4.71999979,-0.029970523
29,0.079452055,0.039315272,4.779999892,-0.030233293
30,0.082191781,0.039196852,4.753333092,-0.03132791
31,0.084931507,0.039074902,4.46666654,-0.031581694
32,0.087671233,0.038949458,4.47999986,-0.031957977
33,0.090410959,0.038820554,5.106666565,-0.031705737
34,0.093150685,0.038688229,5.119999886,-0.032009667
35,0.095890411,0.03855252,4.829999924,-0.032202271
36,0.098630137,0.038413467,4.923333168,-0.031773771
37,0.101369863,0.038271109,4.996666431,-0.031695365
38,0.104109589,0.038125488,4.949999968,-0.031677524
39,0.106849315,0.037976646,5.123333295,-0.031883303
40,0.109589041,0.037824626,5.333333333,-0.032088848
41,0.112328767,0.037669471,5.48333327,-0.03228407
42,0.115068493,0.037511227,5.749999841,-0.032391706
43,0.117808219,0.037349939,5.599999746,-0.032479252
44,0.120547945,0.037185654,5.363333225,-0.032522595
45,0.123287671,0.037018419,5.179999987,-0.032487337
46,0.126027397,0.036848284,5.403333187,-0.032426558
47,0.128767123,0.036675297,5.703333219,-0.032312452
48,0.131506849,0.036499508,5.699999968,-0.032151145
49,0.134246575,0.036320969,5.659999847,-0.031905315
50,0.136986301,0.036139731,5.629999797,-0.03161223
51,0.139726027,0.035955847,5.523333232,-0.031257198
52,0.142465753,0.03576937,5.410000006,-0.030841826
53,0.145205479,0.035580354,5.326666514,-0.030317919
54,0.147945205,0.035388855,5.209999879,-0.029778118
55,0.150684932,0.035194927,4.73333327,-0.02911482
56,0.153424658,0.034998628,3.693333228,-0.028418826
57,0.156164384,0.034800014,3.71666654,-0.027696404
58,0.15890411,0.034599143,3.809999943,-0.026113896
